season,date,game_pk,pitcher_id,lineup_ids,actual_k,exp_k,p_k_≥6.5
2024,2024-04-05,745361,663855,"808982,527038,624585,624424,656305,642731,596103,672275,605113",5,5.0085,0.254
2024,2024-04-05,746733,500779,"596019,624413,682626,683146,516782,621438,643446,664056,670097",4,5.049,0.247
2024,2024-04-05,746733,668881,"663697,669352,687952,600869,641584,682829,669289,666181,571912",6,5.0,0.231
2024,2024-04-05,744874,605400,"656941,607208,547180,592663,664761,681082,592206,669016,679032",4,5.0795,0.261
2024,2024-04-05,744874,571578,"682928,657041,608385,608841,608336,660688,696285,671277,702358",6,4.9995,0.2395
2024,2024-04-05,747143,674072,"606466,682998,666971,572233,592626,553993,672515,677942,664983",5,5.043,0.258
2024,2024-04-05,747143,675911,"660670,645277,663586,621566,542303,672284,671739,657088,518595",4,5.1545,0.272
2024,2024-04-05,746328,607200,"643217,660162,669699,607680,683734,543257,657557,670032,686676",4,5.071,0.2505
2024,2024-04-05,746328,663903,"672580,677951,686469,680118,666023,676369,624428,592669,664728",4,5.0915,0.245
2024,2024-04-05,745033,686613,"643289,572138,663656,666197,673237,676801,547989,665161,676694",3,5.033,0.2525
2024,2024-04-05,745033,674003,"679822,677649,694671,608671,694497,665120,641680,669701,665750",4,4.994,0.2435
2024,2024-04-05,746007,669302,"641487,677594,593871,571745,641598,663728,664238,669392,649966",7,5.0785,0.248
2024,2024-04-05,746007,642547,"694192,661388,592885,642715,686554,656555,686217,641343,668930",7,5.0245,0.2285
2024,2024-04-05,746249,676710,"680776,646240,622569,807799,641933,671213,665839,678882,624512",5,5.0925,0.2595
2024,2024-04-05,746249,656288,"543685,694384,545361,621493,592273,593934,666160,681351,687263",4,5.0195,0.242
2024,2024-04-06,746498,621112,"676116,680869,668709,667670,664913,605204,669127,671732,669397",4,5.103,0.2655
2024,2024-04-06,746498,628317,"678009,679529,681481,682985,592192,690993,570482,595879,608348",3,4.985,0.228
2024,2024-04-06,745926,471911,"680757,665926,608070,647304,671289,686823,666310,681807,677587",6,4.9955,0.2345
2024,2024-04-06,745926,657746,"666397,621043,666135,621439,596146,467793,670242,680777,650489",7,5.0235,0.241
2024,2024-04-06,745197,669432,"650333,605137,669394,650559,665862,641313,541645,656896,542194",3,4.9675,0.2375
2024,2024-04-06,745197,571927,"680977,502671,571448,671056,669357,672279,676475,691026,687363",3,5.0395,0.246
2024,2024-04-06,746896,808967,"605141,660271,518692,606192,571970,681546,621035,500743,605131",8,5.06,0.2605
2024,2024-04-06,746896,696136,"664023,673548,641355,666624,621020,683737,663538,670156,643565",7,5.006,0.2535
2024,2024-04-06,745522,669330,"683002,668939,669169,623993,676059,656811,656775,602104,643393",3,5.0195,0.252
2024,2024-04-06,745522,663559,"665833,668804,656582,669261,658668,642133,669707,680779,663647",1,5.0885,0.267
2024,2024-04-06,744873,624133,"656941,607208,547180,592663,664761,681082,592206,669016,679032",4,5.0755,0.266
2024,2024-04-06,744873,663623,"657041,608841,608336,660688,608385,545121,702358,592696,671277",5,5.046,0.247
2024,2024-04-06,746731,622663,"607043,596019,624413,683146,516782,621438,643446,664056,553882",7,4.982,0.2235
2024,2024-04-06,746731,607259,"663697,669289,687952,669352,641584,682829,668715,656413,663886",6,5.013,0.247
2024,2024-04-06,745031,641585,"514888,670541,663656,608324,673237,676801,547989,665161,572138",4,5.0355,0.2445
2024,2024-04-06,745031,592351,"543760,608369,694671,666969,694497,665120,641680,669701,665750",3,5.092,0.2545
2024,2024-04-06,745766,592332,"543807,665489,666182,457759,596129,676391,676914,672386,624415",0,4.982,0.2315
2024,2024-04-06,745766,657376,"650402,665742,592450,519203,519317,657077,683011,669224,665828",4,4.992,0.242
2024,2024-04-06,746329,623167,"643217,660162,683734,657757,607680,657557,672820,666150,686676",4,5.0765,0.256
2024,2024-04-06,746329,608379,"672580,677951,686469,521692,669004,676369,680118,641658,664728",8,5.062,0.2565
2024,2024-04-06,746006,682243,"641487,677594,593871,571745,641598,663728,664238,649966,670042",7,5.1455,0.2515
2024,2024-04-06,746006,669084,"686217,661388,592885,642715,656555,687401,596142,668930,694192",5,5.019,0.2405
2024,2024-04-06,747140,694297,"606466,682998,666971,572233,607054,592626,672515,664983,677942",7,5.0535,0.2495
